id,OR_589nm
163,13.713000000000003
164,-1.1109333333333329
165,0.6079333333333329
166,-18.18073333333334
167,0.15106666666666987
168,7.102300000000004
169,-6.0197333333333445
170,-6.757000000000005
171,5.631699999999985
172,-7.385766666666673
173,6.580499999999991
174,6.957033333333338
175,-1.4540973333333322
176,9.970000000000008
177,-1.5888733333333327
178,3.604300000000002
179,1.0095000000000027
180,-5.552066666666671
181,8.454066666666657
182,8.151766666666674
183,-4.774666666666671
184,-8.230833333333331
186,-6.992999999999995
187,0.7395199999999953
188,9.352666666666664
189,-3.711433333333332
190,3.1810900000000024
191,3.821266666666664
192,-2.8525000000000014
193,-1.3935999999999922
195,-8.347566666666665
196,4.301333333333332
197,-0.21588000000000088
198,6.7193333333333385
199,5.955166666666666
200,1.5357666666666674
201,5.014199999999998
202,8.104263333333332
203,12.886666666666665
204,-1.5240666666666698
205,-4.84826666666667
206,0.9657333333333332
207,-13.670966666666667
208,-16.597633333333345
209,6.77570000000001
210,9.458133333333317
211,6.004133333333338
212,10.246333333333325
213,10.302666666666662
214,-13.903666666666672
215,-14.479000000000005
216,-16.43300000000001
217,10.116333333333339
218,14.27673333333333
219,14.744100000000003
220,15.806666666666672
221,13.454799999999997
222,14.280999999999986
223,17.000333333333362
224,-23.374000000000006
225,-5.788666666666657
226,5.460333333333334
227,-2.906813333333332
228,-7.908000000000006
229,-14.075666666666658
230,-21.657333333333355
231,-3.922300000000002
232,-6.569000000000007
233,1.0516666666666765
234,10.880366666666667
235,4.303666666666667
236,17.617333333333324
237,-6.917733333333331
238,-3.533699999999996
239,7.2575999999999965
240,-9.35730000000001
241,-6.91943333333333
242,10.532999999999996
243,-9.6484
244,-4.160666666666671
245,-9.605999999999995
246,10.575500000000005
247,-11.630666666666675
248,4.887500000000003
249,13.522333333333355
250,-12.804333333333327
251,3.597366666666668
252,13.369666666666669
253,6.427999999999997
255,-0.15016333333333284
256,-5.260666666666661
257,11.13233333333333
258,2.4865666666666755
259,-0.6641666666666689
260,-5.7541999999999875
261,-2.936333333333323
262,-0.5401666666666832
263,8.031293333333332
264,11.92506666666666
265,-8.629200000000006
266,11.51533333333333
267,-7.985666666666664
268,11.827666666666667
269,-8.323266666666674
270,6.602333333333334
271,-11.967333333333329
272,15.604800000000006
273,-10.604666666666665
274,-4.878566666666662
275,20.938000000000006
276,13.897833333333324
277,12.288000000000002
278,-12.534900000000013
279,-7.168533333333339
280,-9.377040000000003
281,8.470099999999993
282,-12.669999999999996
283,-11.617699999999994
284,-10.019133333333336
285,-11.017800000000003
286,-7.72366333333333
287,-2.07886666666667
288,5.8709999999999996
289,2.1984666666666612
290,4.230433333333335
291,0.8949666666666568
292,-29.49066666666666
293,2.727733333333333
294,-2.186366666666667
295,1.9478699999999993
296,2.946956666666684
297,1.7746666666666517
298,-1.314900000000004
299,-0.48564000000000834
300,1.3959333333333366
301,-0.14569299999999905
302,2.3650999999999933
303,-0.33533333333334286
304,-5.242666666666669
305,-0.31183333333333013
306,1.329666666666668
307,-7.139999999999986
308,-0.22176666666666733
309,-8.543466666666651
310,0.266333333333345
311,1.3366666666666827
312,2.3509999999999898
313,2.2670333333333303
314,1.5024666666666728
315,-0.8473333333333338
316,15.168533333333338
317,3.1156666666666575
318,7.855333333333363
319,-7.659333333333336
320,-0.47760000000000485
321,-2.6128333333333367
322,2.0068999999999924
323,1.827999999999984
324,0.2845666666666631
325,-0.10499999999999925
326,-4.170333333333342
327,-4.930833333333339
329,0.41500000000000153
330,-0.6475200000000049
331,-0.1553000000000111
332,2.4376333333333307
333,-0.5765666666666694
334,-1.980733333333338
335,3.908133333333334
336,-0.6696999999999965
338,3.555999999999983
339,-1.8153333333333326
340,-3.437000000000012
341,14.692336666666657
342,-2.280000000000001
343,1.992833333333337
344,2.806333333333337
345,-2.652333333333331
348,-0.6692600000000001
349,-0.4518366666666651
350,-0.5277799999999999
351,0.08920666666666695
352,-1.008159999999999
353,-1.0800766666666666
354,0.1022500000000015
355,-3.237973333333331
356,1.7499666666666656
357,1.8785666666666667
358,2.186766666666666
359,-1.0646533333333332
360,0.9889499999999997
361,1.5055333333333323
362,-3.469066666666663
363,3.26467
364,9.858099999999999
365,3.982300000000002
366,2.913099999999995
367,-2.7068333333333405
368,-2.6612999999999922
369,3.4449333333333336
370,-2.8850633333333335
371,4.385133333333331
372,-3.6422000000000025
373,-3.226226666666662
374,-0.7338999999999984
375,-5.3456333333333275
376,3.9404566666666674
377,1.5365333333333335
378,5.1748
379,-5.263499999999998
380,-8.072466666666664
381,6.483666666666655
382,-1.523666666666666
383,8.004
384,-3.3026333333333326
385,2.5321566666666704
386,5.681103333333333
387,8.974566666666666
388,3.41743333333334
389,6.472366666666669
390,1.5411933333333334
399,-6.244866666666667
408,6.524233333333332
409,-3.4973333333333394
410,7.394800000000001
411,-3.8744666666666703
412,2.592100000000002
413,-3.8535766666666595
414,0.25176666666666847
415,0.6220999999999984
416,1.9690333333333285
